Nom,Alquiler,Extra,Carrer,Direccion,Barri,Districte,Població,Província,Descripcion,Latitud,Longitud
Alquiler de piso en calle del arquitecto monleón,500 €/m  ,90 m²   2 hab.   1ª planta, Carrer del arquitecto monleón  , Carrer del arquitecto monleón   La Creu Coberta     Jesús    ,La Creu Coberta   , Jesús   ,Valencia,València,". Totalmente reformada incluso tuberías y electricidad. entrada puerta blindada comedor mueble comedor con minibar giratorio con luz. los marcos o laterales se abren para guardar. mesa ampliable cheslong motorizado, por un lado, la parte larga se extiende mas con la posibilidad de hacer cama. por...",39.4522145,-0.3858534
Alquiler de piso en Patraix,780 €/m  ,105 m²   3 hab.   1ª planta exterior,   ,    Patraix     Patraix    ,Patraix   , Patraix   ,Valencia,València,"Nos encontramos ante una excelente vivienda ubicada concretamente en una de las mejores zonas del Botánico. La propiedad posee un total de 105m2 distribuidos de manera lógica en el que encontramos la zona de día con un amplio salón muy luminoso con acceso a la terraza, la cocina office muy lumin...",39.462494,-0.3913172
Alquiler de estudio en Torrefiel,550 €/m  ,50 m²      5ª planta exterior,   ,    Torrefiel     Rascanya    ,Torrefiel   , Rascanya   ,Valencia,València,"Se trata de un excelente loft completamente reformado, muy moderno y con todos los accesorios equipados. Al entrar, nos encontramos con un pequeño pasillo por el que, a mano derecha, nos encontramos con un baño completo. Si continuamos por el pasillo, nos encontramos a mano derecha una moderna co...",39.4948909,-0.3760125
Alquiler de piso en avenida Perez Galdos,600 €/m  ,130 m²   3 hab.   7ª planta interior, Avinguda Perez Galdos  , Avinguda Perez Galdos   La Petxina     Extramurs    ,La Petxina   , Extramurs   ,Valencia,València,"Ocasión de alquilar un piso amueblado en Extramurs, cuenta con tres habitaciones, baño completo y cocina actualizada, es interior pero gracias a su orientación es muy luminoso y tranquilo. Podrás vivir en la avenida Pérez Galdós sin preocuparte del ruido. Zona muy bien comunicada, con todos los s...",39.4749574,-0.3955364
Alquiler de piso en puerta del Mar,2.000 €/me,    245 m²   5 hab.   3ª planta exterior, Puerta del Mar  , Puerta del Mar   El Pla del Remei     L'Eixample    ,El Pla del Remei   , L'Eixample   ,Valencia,València,"Estupendo piso en el centro de Valencia, en una de las mejores zonas, en la Plaza Porta de la Mar tiene 245 m2, es exterior y muy luminoso. Tiene un recibidor, cinco habitaciones, dos baños, uno en suite, cuatro balcones, un amplio salón comedor, cocina amueblada, lavadero, armarios empotrados, p...",39.472073,-0.3684282
Alquiler de piso en Mont-Olivet,750 €/m  ,85 m²   3 hab.   6ª planta exterior,   ,    Mont-Olivet     Quatre Carreres    ,Mont-Olivet   , Quatre Carreres   ,Valencia,València,"Excelente vivienda equipada de muebles y electrodomésticos. Distribuida en salón comedor amplio con acceso a balcón con vistas al parque, 3 habitaciones, baño con plato de ducha y mampara acristalada Cocina equipada de electrodomésticos. Encimera y calentador de gas natural. En perfecto estado pa...",39.4586988,-0.3642437
Alquiler de piso en calle del Doctor Gómez Ferrer s/n,850 €/m  ,120 m²   3 hab.   15ª planta exterior, Carrer del Doctor Gómez Ferrer s/n  , Carrer del Doctor Gómez Ferrer s/n   Ciutat Universitària     El Pla del Real    ,Ciutat Universitària   , El Pla del Real   ,Valencia,València,No hay descripcion,39.4798221,-0.3610518
Alquiler de piso en Arrancapins,1.500 €/me,    175 m²   4 hab.   2ª planta exterior,   ,    Arrancapins     Extramurs    ,Arrancapins   , Extramurs   ,Valencia,València,"Magnifica vivienda frente al AVE, cerca de la Estación del norte de edificación moderna. Su orientación al Este es perfecta y con vistas al futuro Parque Central. Esta vivienda tiene 161m2, consta de recibidor, . 3 dormitorios uno de ellos con baño en suite y vestidor, otro baño completo, cocina...",39.4638077,-0.38543
Alquiler de piso en calle de santa teresa,890 €/m  ,140 m²   3 hab.   1ª planta exterior, Carrer de santa teresa  , Carrer de santa teresa   El Mercat     Ciutat Vella    ,El Mercat   , Ciutat Vella   ,Valencia,València,"Amplia vivienda en edificio señorial con ascensor, en pleno centro de Valencia, a cinco minutos andando del Mercado Central. El inmueble, totalmente reformado, tiene una cocina totalmente equipada con acceso a una gran terraza interior, amplio salón, dos baños completos, dos habitaciones dobles...",39.4744236,-0.38127
Alquiler de piso en calle de sant vicent màrtir,1.900 €/me,    170 m²   3 hab.   4ª planta exterior, Carrer de sant vicent màrtir  , Carrer de sant vicent màrtir   La Roqueta     Extramurs    ,La Roqueta   , Extramurs   ,Valencia,València,alquiler vacio-posibilidad amueblado-reforma integral diseño a estrenar-170 m2-3 habs. -4 arms. emps. -2 baños-cocina amplisima con galeria y electrod. (lavadora-lavavajillas-nevera-horno-microondas)-salon amplisimo exterior con vistas plaza españa y san vicente-inst. completa radiadores-inst. co...,39.4672996,-0.3804653000000001
Alquiler de piso en Gran Vía,925 €/m  ,92 m²   2 hab.,   ,    Gran Vía     L'Eixample    ,Gran Vía   , L'Eixample   ,Valencia,València,"Piso situado en el centro de Valencia. Tercero con ascensor muy luminoso. Cuenta con una superficie de 80 m² distribuidos en salón-comedor, cocina amueblada, 2 dormitorios y 2 baños, suelos de madera, primeras calidades. Edificio rehabilitado de 1928. La vivienda está ubicada en el barrio de la G...",39.4658115,-0.3660088
Alquiler de piso en calle Fray Junípero,650 €/m  ,70 m²   2 hab.   4ª planta exterior, Carrer Fray Junípero  , Carrer Fray Junípero   Vara de Quart     Patraix    ,Vara de Quart   , Patraix   ,Valencia,València,No hay descripcion,39.46181,-0.4006353
"Alquiler de piso en calle de Guillem Sorolla, 37",650 €/m  ,109 m²   4 hab.   5ª planta exterior," Carrer de Guillem Sorolla, 37  "," Carrer de Guillem Sorolla, 37   El Pilar     Ciutat Vella    ",El Pilar   , Ciutat Vella   ,Valencia,València,"Piso muy luminoso, quinto sin ascensor. Se alquila semi amueblado, tiene pequeña galería que da a patio de luces.",39.47240860000001,-0.3832042000000001
"Alquiler de piso en calle alqueria de benimasot, 24",500 €/m  ,69 m²   1 hab.   1ª planta exterior," Carrer alqueria de benimasot, 24  "," Carrer alqueria de benimasot, 24   Camí Reial     Jesús    ",Camí Reial   , Jesús   ,Valencia,València,"Vivienda nueva, amueblada y cocina equipada. Exterior, suelo de mármol, aire frío calor por conductos toda la casa. La vivienda también está en venta que es su prioridad. Abstenerse Inmobiliarias. sólo para particulares. Entrar el 1 de abril.",39.4397023,-0.3880067
"Alquiler de piso en calle de Santa Cruz de Tenerife, 20",550 €/m  ,138 m²   2 hab.   3ª planta exterior," Carrer de Santa Cruz de Tenerife, 20  "," Carrer de Santa Cruz de Tenerife, 20   Tres Forques     L'Olivereta    ",Tres Forques   , L'Olivereta   ,Valencia,València,"Piso con poco ruido. Próximo a metro, parada Avda. del Cid. Próximo a parada autobuses. Dispone también de lavadero.",39.4643586,-0.4012141
Alquiler de piso en padre esteban pernet,650 €/m  ,110 m²   3 hab.   5ª planta exterior,  padre esteban pernet  ,  padre esteban pernet   La Llum     L'Olivereta    ,La Llum   , L'Olivereta   ,Valencia,València,Realtor Valencia les presenta esta estupenda vivienda en alquiler. Dispone de 3 dormitorios y 2 baños. Suelos de parquet. Calefacción. Totalmente amueblada y equipada. La finca con ascensor. Se requiere solvencia económica demostrable.,39.4671021,-0.4137714
Alquiler de piso en avenida de frança,1.200 €/me,    135 m²   3 hab.   2ª planta exterior, Avinguda de frança  , Avinguda de frança   Penya-Roja     Camins al Grau    ,Penya-Roja   , Camins al Grau   ,Valencia,València,"Vivienda en alquiler de 3 dormitorios y 2 cuartos de baño en Avda Francia. La vivienda está totalmente amueblada y acondicionada para entrar a vivir. Cuenta con armarios empotrados, aire acondicionado y cocina totalmente equipada. El residencial dispone de zona ajardinada y zona infantil de juego...",39.4597712,-0.3492224
Alquiler de piso en avenida del port,700 €/m  ,95 m²   3 hab.   4ª planta exterior, Avinguda del port  , Avinguda del port   Mestalla     El Pla del Real    ,Mestalla   , El Pla del Real   ,Valencia,València,"Vivienda de alquiler vacía, en avda. Del puerto, junto a alameda y aragón, 3 habitaciones, 2 baños, armarios empotrados, parquet, aire acondicionado, calefacción eléctrica.",39.4674827,-0.3579225
Alquiler de piso en calle de la Mare de Déu del Tremedal,525 €/m  ,80 m²   3 hab.   3ª planta exterior, Carrer de la Mare de Déu del Tremedal  , Carrer de la Mare de Déu del Tremedal   Campanar     Campanar    ,Campanar   , Campanar   ,Valencia,València,"Ref. w101a. Se alquila piso junto al Hipercor de Campanar, el piso esta totalmente reformado, cocina, baño fontanería y recién pintado, armarios empotrados nuevos y puerta blindada, son 3 dormitorios, baño, tiene ascensor, vacío, es exterior, si desea mas información o visitar este inmueble, póng...",39.4835494,-0.3964065
Alquiler de piso en calle de quart,725 €/m  ,90 m²   2 hab.   3ª planta, Carrer de quart  , Carrer de quart   La Petxina     Extramurs    ,La Petxina   , Extramurs   ,Valencia,València,"Va 1280307 q. Magnifico piso en alquiler en el carmen, muebles de buen diseño, baño con plato de ducha, terraza ideal, dos amplias habitaciones, cocina armariada.",39.4746966,-0.3902945
Alquiler de piso en calle de la Mare de Déu del Sufragi,1.200 €/me,    188 m²   3 hab.   1ª planta exterior, Carrer de la Mare de Déu del Sufragi  , Carrer de la Mare de Déu del Sufragi   El Cabanyal-El Canyamelar     Poblats Marítims    ,El Cabanyal-El Canyamelar   , Poblats Marítims   ,Valencia,València,Piso en alquiler. 188 m2. Terraza de 88 m2. 1ª planta sin ascensor. Salón/comedor. Cocina con vitrocerámica y horno. 3 habitaciones. 2 baños. Trastero. Aire acondicionado frio/calor. Armarios empotrados. Puerta blindada. Piso y cocina sin amueblar. Piso Luminoso. Exterior. Finca recien rehabili...,39.4668345,-0.3267899
Alquiler de piso en Els Orriols,650 €/m  ,115 m²   4 hab.   4ª planta,   ,    Els Orriols     Rascanya    ,Els Orriols   , Rascanya   ,Valencia,València,"SAN VICENTE DE PAUL, estupendo piso amplio de 115 m2, 4 habitaciones, salón, cocina con galería, baño y aseo. Calefacción. Perfecto estado. Muy luminoso, exterior con dos balcones. Edificio con ascensor. Buena zona, rodeado de todos los comercios, autobús, tranvía. Garaje opcional próximo.",39.4923189,-0.3713045
Alquiler de piso en Arrancapins,650 €/m  ,96 m²   3 hab.   2ª planta exterior,   ,    Arrancapins     Extramurs    ,Arrancapins   , Extramurs   ,Valencia,València,"Segundo piso 96m2 construidos y 88 m2 itiles. Tres habitaciones, dos exteriores, orientacion Este, una de ellas con balcón, la tercera es interior a modo de vestidor o despacho y también como dormitorio. Pequeña terraza de 10 metros cuadrados orientación este. Baño completo plato ducha y bidé y c...",39.4638077,-0.38543
Alquiler de piso en Penya-Roja,1.700 €/me,    110 m²   3 hab.   8ª planta exterior,   ,    Penya-Roja     Camins al Grau    ,Penya-Roja   , Camins al Grau   ,Valencia,València,"En Ciudad de las Artes y las Ciencias, el barrio más moderno y distinguido de la ciudad de Valencia, nos encontramos con este maravilloso piso dúplex completamente amueblado, compuesto por un amplio y luminoso salón comedor con acceso a balcón con vistas, tres dormitorios, un baño completo y coci...",39.458742,-0.3501258
Alquiler de piso en Sant Francesc,2.500 €/me,    214 m²   4 hab.   5ª planta exterior,   ,    Sant Francesc     Ciutat Vella    ,Sant Francesc   , Ciutat Vella   ,Valencia,València,"Se encuentra ante una prestigiosa vivienda de amplias estancias. El hall nos da la bienvenida y acceso al salón comedor, dividido en dos estancias muy luminosas, con espacio suficiente para dar servicio a un número elevado de comensales y con acceso directo a la terraza acristalada con una superf...",39.4690149,-0.3760125
Alquiler de piso en Albors,1.300 €/me,    98 m²   3 hab.   3ª planta exterior,   ,    Albors     Camins al Grau    ,Albors   , Camins al Grau   ,Valencia,València,"Piso tranquilo y luminoso, reformado recientemente y totalmente amueblado. El apartamento consta de 3 dormitorios, amplio salón con acceso al balcón, baño y cocina totalmente equipada. Cada habitación cuenta con una mesa de estudios, por ello este piso es perfecto para estudiantes. No dude en con...",39.4690883,-0.3524784
Alquiler de piso en La Llum,700 €/m  ,111 m²   3 hab.   5ª planta exterior,   ,    La Llum     L'Olivereta    ,La Llum   , L'Olivereta   ,Valencia,València,"Este práctico piso amueblado en alquiler cercano al Bioparc de Valencia se distribuye desde la entrada en una zona de día con un cómodo salón comedor y una cocina bien equipada y sigue la zona de noche con tres dormitorios y dos cuartos de baño. No dude en visitarlo, estaremos encantados de atend...",39.4682425,-0.4131072
Alquiler de piso en Gran Vía,1.800 €/me,    138 m²   4 hab.   2ª planta exterior,   ,    Gran Vía     L'Eixample    ,Gran Vía   , L'Eixample   ,Valencia,València,"Amplia y muy luminosa vivienda, junto a la Gran Vía Marqués del Turia, distribuida en 4 habitaciones, salón, comedor, un cuarto de baño completo y un aseo, un cuarto-vestidor, amplio pasillo, balcón y cocina completamente equipada. El edifico dispone de servicio de portería y ascensor. Póngase en...",39.4658115,-0.3660088
Alquiler de piso en Jaume Roig,1.300 €/me,    140 m²   3 hab.   11ª planta exterior,   ,    Jaume Roig     El Pla del Real    ,Jaume Roig   , El Pla del Real   ,Valencia,València,"Altura piso 11º, piso superficie total 140 m², superficie útil 125 m², habitaciones dobles: 1, 2 baños, adaptado a personas con discapacidad, agua, aire acondicionado (frío y calor), armarios empotrados (más de 2), ascensor, calefacción, carpinteria interior, cocina (equipada), comedor, estado co...",39.4813465,-0.3636553
Alquiler de piso en Penya-Roja,1.200 €/me,    137 m²   3 hab.   21ª planta exterior,   ,    Penya-Roja     Camins al Grau    ,Penya-Roja   , Camins al Grau   ,Valencia,València,"Máginifica vivienda en alquiler en zona Avda. Francia / Ciudad de las Ciencias. Tiene unas espectaculares vistas hacia los jardines del cauce del río, el mar, etc. debido a su altura (planta 23). El inmueble consta de 137m² de superficie distribuidos en recibidor, salón comedor con salida a terra...",39.458742,-0.3501258
Alquiler de piso en El Pla del Remei,1.150 €/me,    97 m²   2 hab.,   ,    El Pla del Remei     L'Eixample    ,El Pla del Remei   , L'Eixample   ,Valencia,València,Apartamento en alquiler con reforma a estrenar en el centro de la capital valenciana. Dispone de una amplia sala de estar con grandes ventanales y un balcón-terraza que ofrece vistas a la calle Colón. Este ámbito dispone de una cocina de vanguardia y un aseo secundario. El distribuidor da acc...,39.4690375,-0.3689508
Alquiler de piso en El Pla del Remei,1.200 €/me,    102 m²   3 hab.   4ª planta exterior,   ,    El Pla del Remei     L'Eixample    ,El Pla del Remei   , L'Eixample   ,Valencia,València,"Moderno y luminoso apartamento en la calle Sorní, muy cerca del antiguo cauce del río Turia, en una de las mejores zonas del “Pla del Remei”. Este apartamento totalmente reformado, está ubicado en un bonito edificio clásico con vistas a la emblemática calle Sorní. La propiedad se distribuye en un...",39.4690375,-0.3689508
Alquiler de piso en Guillem de Castro,795 €/m  ,85 m²   2 hab.   7ª planta exterior,  Guillem de Castro  ,  Guillem de Castro   El Botànic     Extramurs    ,El Botànic   , Extramurs   ,Valencia,València,"Vivienda reformada recientemente, situada frente a las Torres de Quart. Consta de 80 metros distribuidos en dos dormitorios, con armarios. Un baño completo con ducha y mampara de cristal. Salón con acceso a balcón, cocina office totalmente equipada y comedor. La vivienda dispone de dos balcones,...",39.47526209999999,-0.3842384
Alquiler de piso en SAN VICENTE,1.500 €/me,    110 m²   3 hab.   4ª planta exterior,  SAN VICENTE  ,  SAN VICENTE   Sant Francesc     Ciutat Vella    ,Sant Francesc   , Ciutat Vella   ,Valencia,València,"Vivienda muy luminosa completamente amueblada. Ubicada en una finca señorial y de solo un piso por planta, dispone de tres dormitorios, la habitacion principal con vestidor, baño con yacussi y ducha doble. Aseo en zona pasillo. Amplia cocina independiente completamente equipada y con mucha luz na...",39.4702665,-0.3782743
Alquiler de piso en Sant Francesc,1.200 €/me,    160 m²   5 hab.   9ª planta exterior,   ,    Sant Francesc     Ciutat Vella    ,Sant Francesc   , Ciutat Vella   ,Valencia,València,"Vivienda amueblada en alquiler, ZONA SAN AGUSTIN, MUY LUMINOSA y con EXCEPCIONALES VISTAS a la Plaza de Toros y en pleno centro neurálgico de la ciudad de Valencia, con 150 m2 distribuidos en 5 habitaciones, 2 baños completos, amplia cocina totalmente equipada con electrodomésticos, amplísimo sal...",39.4690149,-0.3760125
Alquiler de ático en Angel Guimera,685 €/m  ,40 m²      7ª planta exterior,  Angel Guimera  ,  Angel Guimera   Arrancapins     Extramurs    ,Arrancapins   , Extramurs   ,Valencia,València,"INMOCISCAR ALQUILA: Espectacular Estudio, Ático tipo loft de 40 m2+ 30 de terraza, con reforma integral recién pintado y amueblado, 1 habitación con cocina equipada con electrodomésticos, persianas automáticas todo, exterior y muy luminoso, terraza de 30 m2, con todos los servicios muy cercanos...",39.4705813,-0.3853006
Alquiler de piso en avenida de França,1.000 €/me,    90 m²   2 hab.   11ª planta exterior, Avinguda de França  , Avinguda de França   Penya-Roja     Camins al Grau    ,Penya-Roja   , Camins al Grau   ,Valencia,València,"INMOCISCAR ALQUILA: Vivienda en al avenida de Francia, 11º planta, Vacío de 2 dormitorios, dos baños con grifería nueva a estrenar, salón comedor, Cocina con galería ""vacía ""excepto vitro-ceramica y horno, aire acondicionado frío /calor por conductos en toda la vivienda, armarios empotrados en lo...",39.4597712,-0.3492224
Alquiler de ático en calle d'àngel guimerà,680 €/m  ,50 m²   1 hab.   8ª planta, Carrer d'àngel guimerà  , Carrer d'àngel guimerà   Arrancapins     Extramurs    ,Arrancapins   , Extramurs   ,Valencia,València,"Atico Loft, 40 m2 + 30 metros de terraza, recién pintado, muebles nuevos y con electrodomésticos, habitación con cama de 1, 50, baño con ventilación exterior, cocina y salón con acceso a la terraza, todo exterior, persianas automáticas, aire acondicionado con bomba de calor, reforma integral reci...",39.469727,-0.3883612
Alquiler de piso en calle padre e pernet,650 €/m  ,120 m²   3 hab.   4ª planta, Carrer padre e pernet  , Carrer padre e pernet   La Llum     L'Olivereta    ,La Llum   , L'Olivereta   ,Valencia,València,"Se alquila excelente piso zona hospital general, calle padre esteban pernet, 100 m2 útiles, 3 habitaciones, 2 cuartos baños completos, a/c (frió y calor), suelo de parquet, iluminación completa instalada, cocina equipada con todos los electrodomésticos, armarios empotrados en todas la habitacione...",39.4671,-0.41377
Alquiler de piso en calle de la Remunta,599 €/m  ,65 m²   3 hab.   Entreplanta exterior, Carrer de la Remunta  , Carrer de la Remunta   El Cabanyal-El Canyamelar     Poblats Marítims    ,El Cabanyal-El Canyamelar   , Poblats Marítims   ,Valencia,València,"Alquiler piso totalmente reformado y amueblado en Valencia, con tres dormitorios, un cuarto de baño, cocina office con electrodomésticos, salón comedor, muy luminoso. No se admiten mascotas. Ubicación excelente, junto a la avenida Tarongers, próximo a las universidades, buena comunicación, todos...",39.4742813,-0.3291905
Alquiler de piso en La Xerea,1.100 €/me,    107 m²   3 hab.   4ª planta exterior,   ,    La Xerea     Ciutat Vella    ,La Xerea   , Ciutat Vella   ,Valencia,València,"Encantador piso amueblado junto al Arzobispado y la Catedral en Valencia. 3º planta con ascensor. 107 m2 distribuidos en amplio salón comedor con salida a agradable balcón. 3 habitaciones, un baño completo con ducha, cocina independiente con office. Armarios empotrados en toda la casa, calefacci...",39.4748512,-0.371893
Alquiler de piso en Gran Vía,1.500 €/me,    108 m²   2 hab.   1ª planta exterior,   ,    Gran Vía     L'Eixample    ,Gran Vía   , L'Eixample   ,Valencia,València,"Magnífico piso moderno situado en el centro de Valencia totalmente amueblado y equipado. El piso consta de: Un salón-comedor bastante luminoso debido a sus grandes ventanales, una terraza interior acondicionada muy agradable, una cocina-office equipada completamente con todos los electrodoméstico...",39.4658115,-0.3660088
Alquiler de piso en Mont-Olivet,750 €/m  ,85 m²   3 hab.   7ª planta exterior,   ,    Mont-Olivet     Quatre Carreres    ,Mont-Olivet   , Quatre Carreres   ,Valencia,València,"Propiedad en buen estado y con terraza comunitaria. Se trata de un piso amplio y luminoso el cual está parcialmente amueblado. La vivienda se distribuye en tres dormitorios y un baño completo. El salón, bastante espacioso, cuenta con mucha luz y dispone de un pequeño balcón. La cocina independien...",39.4586988,-0.3642437
Alquiler de piso en La Seu,900 €/m  ,80 m²   1 hab.   3ª planta exterior,   ,    La Seu     Ciutat Vella    ,La Seu   , Ciutat Vella   ,Valencia,València,"Altura piso 3º, piso superficie total 80 m², superficie útil 70 m², habitaciones dobles: 1, 1 baño, aire acondicionado (frío y calor), antigüedad entre 30 y 50 años, armarios empotrados (más de 2), ascensor, calefacción (gas natural), carpintería exterior (aluminio), cocina, comedor, estado conse...",39.4761338,-0.3754239
Alquiler de piso en calle del ministre luis mayans,800 €/m  ,110 m²   3 hab.   1ª planta, Carrer del ministre luis mayans  , Carrer del ministre luis mayans   Morvedre     La Saïdia    ,Morvedre   , La Saïdia   ,Valencia,València,"Se alquila Precioso piso de 100 m2, situado en Valencia (46009) en la Calle Ministro Luís Mayans, cuenta con Salón comedor, cocina equipada, Galería, 3 habitaciones, 2 baños y 2 terrazas, parcialmente amueblado. Dispone de dos terrazas interiores, con muchas posibilidades. El piso se encuentra a...",39.4864102,-0.3716347
Alquiler de piso en La Roqueta,700 €/m  ,40 m²   1 hab.   3ª planta exterior,   ,    La Roqueta     Extramurs    ,La Roqueta   , Extramurs   ,Valencia,València,"Casabella alquila excelente apartamento de una habitación y un baño, totalmente reformado y cocina equipada. Ventanas de doble climalit y oscilobatientes. Iluminación por downlight en toda la vivienda. Doble puerta de entrada de seguridad lacada en blanco. 2 aires acondicionados por splits de 350...",39.4670605,-0.3801324
Alquiler de piso en calle del doctor vila barberà,1.100 €/me,    130 m²   3 hab.   2ª planta exterior, Carrer del doctor vila barberà  , Carrer del doctor vila barberà   Arrancapins     Extramurs    ,Arrancapins   , Extramurs   ,Valencia,València,"Se alquila Piso con ascensor muy luminoso en la zona de Arrancapins. Tiene una superficie de 130 m2, distribuidos en 3 habitaciones, 3 baños, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Interesa...",39.4627323,-0.3808665
Alquiler de piso en ADRESADORS,750 €/m  ,118 m²   3 hab.   3ª planta exterior,  ADRESADORS  ,  ADRESADORS   Sant Francesc     Ciutat Vella    ,Sant Francesc   , Ciutat Vella   ,Valencia,València,"Preciosa vivienda en pleno centro de Valencia, en una calle peatonal. Consta de 3 dormitorios, los tres exteriores y muy luminosos, teniendo el dormitorio principal el cuarto de baño en suite. El dormitorio principal y el salón disponen de un pequeño balcón. Los otros dos dormitorios y la cocina...",39.4716329,-0.3792863
Alquiler de piso en El Cabanyal-El Canyamelar,1.100 €/me,    2.009 m²   1 hab.   6ª planta,   ,    El Cabanyal-El Canyamelar     Poblats Marítims    ,El Cabanyal-El Canyamelar   , Poblats Marítims   ,Valencia,València,"Fantástico estudio de lujo y diseño en primera línea de playa en valencia alucinante todo de diseño, con fabulosas vistas a la playa, todo amueblado con mucho gusto, tv plasma, wifi, todo nuevo a estrenar, edificio nuevo, todo equipado con todos los electrodomésticos, menaje nuevo y con gusto, to...",39.4678596,-0.3301342
Alquiler de piso en La Seu,950 €/m  ,76 m²   2 hab.   8ª planta exterior,   ,    La Seu     Ciutat Vella    ,La Seu   , Ciutat Vella   ,Valencia,València,"Estupenda vivienda con reforma integral para entrar a vivir. La propiedad de 76 m2 se distribuye en salón comedor amplio con balcón al río, cocina independiente totalmente equipada y dos dormitorios, ambos con baño en suite. El principal, además, tiene salida al balcón. La vivienda, que se alquil...",39.4761338,-0.3754239
Alquiler de estudio en El Mercat,1.500 €/me,    46 m²      2ª planta exterior,   ,    El Mercat     Ciutat Vella    ,El Mercat   , Ciutat Vella   ,Valencia,València,"Este piso está hecho para las personas que buscan estilo en cada detalle. Está situado en un edificio de 1920, reformado y cuidando a los elementos antiguos. El piso está preparado para una estancia corta ya que cuenta con cosas habituales como ropa de cama, toallas o platos. Tiene una pared pleg...",39.4735345,-0.3789552
Alquiler de piso en arquitecto monleon,500 €/m  ,80 m²   2 hab.   2ª planta exterior,  arquitecto monleon  ,  arquitecto monleon   La Creu Coberta     Jesús    ,La Creu Coberta   , Jesús   ,Valencia,València,"Estupendo piso totalmente reformado en la zona de Jesús, a 10 minutos andando de la parada de metro de Patraix. Es una vivienda en una 2ª altura sin ascensor, consta de 80m2 distribuidos en 2 habitaciones, la principal amueblada con aire acondicionado, la segunda habitación sin amueblar, un cuart...",39.4522145,-0.3858534
Alquiler de piso en Nou Benicalap,800 €/m  ,104 m²   3 hab.   1ª planta,   ,    Nou Benicalap     Benicalap    ,Nou Benicalap   , Benicalap   ,Valencia,València,"Se alquila vivienda en Residencial con piscina, en Nou Benicalap. Formidable vivienda de 104 metros cuadrados, perfectamente conservada en una urbanización seminueva del 2004. Encontramos un salón comedor de más de 20 m2, cocina independiente totalmente equipada, tres amplios dormitorios, uno de...",39.4934603,-0.3867769
Alquiler de piso en La Seu,2.000 €/me,    177 m²   4 hab.,   ,    La Seu     Ciutat Vella    ,La Seu   , Ciutat Vella   ,Valencia,València,Fantástica vivienda sin amueblar de 4 dormitorios situada en un entorno privilegiado cerca de la Catedral y de la Plaza del Ayuntamiento. Se encuentra en un edificio con conserje y aparcamiento. El piso tiene unas dimensiones de 177 m² y dispone de 4 dormitorios. Dos de los dormitorios y el amp...,39.4761338,-0.3754239
Alquiler de piso en Playa de la Malvarrosa,1.500 €/me,    90 m²   3 hab.   3ª planta exterior,   ,    Playa de la Malvarrosa     Poblats Marítims    ,Playa de la Malvarrosa   , Poblats Marítims   ,Valencia,València,"Este piso reformado, está compuesto por tres habitaciones, está perfectamente amueblado, tiene la cocina equipada con electrodomésticos y un baño completo. La vivienda lista para entrar a vivir. También cuenta con split de aire acondicionado frío-calor y suelos de parquet. No dude en llamarnos pa...",39.47726,-0.3233746
Alquiler de piso en Aiora,600 €/m  ,80 m²   3 hab.   3ª planta exterior,   ,    Aiora     Camins al Grau    ,Aiora   , Camins al Grau   ,Valencia,València,"Apartamento en Algirós, de 3 habitaciones, 1 baño completo, cocina con electrodomésticos, salón comedor interior, habitación de matrimonio con balcón y salita de descanso, aire acondicionado frio-calor por Split, ascensor, muebles clásicos, para entrar a vivir. Gastos de comunidad incluidos en el...",39.4665282,-0.3430688
Alquiler de piso en plaza de la Reina,900 €/m  ,137 m²   4 hab.   2ª planta exterior, Plaça de la Reina  , Plaça de la Reina   La Seu     Ciutat Vella    ,La Seu   , Ciutat Vella   ,Valencia,València,"PISO DE CUATRO DORMITORIOS EN LA PLAZA DE LA REINA NO SE ALQUILA EN MODALIDAD DE ALQUILER VACCACIONAL LA PROPIEDAD SE ALQUILA SIN MUEBLES SE ADMITEN MASCOTAS PEQUEÑAS Una vivienda exterior, con vistas ala Catedral y al Micalet, con solera y estilo, en perfecto estado de conservación y lista par...",39.4746454,-0.3754669
Alquiler de ático en La Xerea,2.800 €/me,    215 m²   3 hab.   4ª planta exterior,   ,    La Xerea     Ciutat Vella    ,La Xerea   , Ciutat Vella   ,Valencia,València,"Extraordinaria vivienda de unos 215 m2 que se divide en unos 145 m2 de vivienda y unos 70 m2 de espectacular terraza. Se trata de un dúplex en edificio de nueva construcción con acceso muy cómodo, sin escalones. Esta propiedad tiene dos puertas de acceso y en la planta principal cuenta con un gra...",39.4748512,-0.371893
Alquiler de piso en L'Illa Perduda,900 €/m  ,85 m²   4 hab.   4ª planta exterior,   ,    L'Illa Perduda     Algirós    ,L'Illa Perduda   , Algirós   ,Valencia,València,"Este fantástico piso está orientado al confort y bienestar de los estudiantes, se compone de cuatro habitaciones muy luminosas todas ellas con escritorio para que los inquilinos puedan estar cómodos en sus habitaciones, el salón dividido en dos ambientes uno para relajarse viendo la televisión y...",39.46976859999999,-0.3413047
